kana,kanji,english,romaji
きんにく,筋肉,muscle,kin'niku
くび,首,neck,kubi
こころ,心,heart [as in feelings],kokoro
こし,腰,"waist, hip",koshi
しんぞう,心臓,heart,shinzō
せなか,背中,back,senaka
ち,血,blood,chi
にく,肉,meat,niku
はだ,肌 / 膚,skin,hada
ひふ,皮膚,skin,hifu
ほね,骨,bone,hone
むね,胸,chest,mune
かぜ,風邪,cold [illness],kaze
げり,下痢,diarrhea,geri
びょうき,病気,illness,byōki
かぞく,家族,family,kazoku
りょうしん,両親,parents,ryoushin
こども,子供,"children, child",kodomo
ちち,父,father,chichi/otou-san
はは,母,mother,haha/okaa-san
つま,妻,wife,tsuma
おっと,夫,husband,otto
あに,兄,older brother,ani/onī-san
あね,姉,older sister,ane/onē-san
おとうと,弟,younger brother,otōto
いもうと,妹,younger sister,imōto
きょうだい,兄弟,"brothers, siblings",kyōdai
しまい,姉妹,sisters,shimai
そふ,祖父,grandfather,sofu/ojii-san
そぼ,祖母,grandmother,sobo/obaa-san
まご,孫,grandchild,mago
おじ,伯父 / 叔父,uncle,oji/oji-san
おば,伯母 / 叔母,aunt,oba/oba-san
いとこ,従兄弟 / 従姉妹 / 従兄 / 従弟 / 従姉 / 従妹,cousin,itoko
めい,姪,niece,mei
おい,甥,nephew,oi
いきもの,生き物,living creatures,ikimono
ばけもの,化け物,monster,bakemono
どうぶつ,動物,animal,dōbutsu
チーター,,cheetah,chītā
いぬ,犬,dog,inu
ねこ,猫,cat,neko
うし,牛,cow,ushi
ぶた,豚,pig,buta
うま,馬,horse,uma
ひつじ,羊,sheep,hitsuji
さる,猿,monkey,saru
ねずみ,鼠,"mouse, rat",nezumi
とら,虎,tiger,tora
オオカミ,狼,wolf,ōkami
うさぎ,兎,rabbit,usagi
りゅう,竜,dragon,ryū
たつ,,dragon,tatsu
しか,鹿,deer,shika
かえる,蛙,frog,kaeru
がま,蟇,toad,gama
しし,獅子,lion,shishi
キリン,麒麟,giraffe,kirin
ぞう,象,elephant,zō
とり,鳥,bird,tori
にわとり,鶏,chicken,niwatori
すずめ,雀,sparrow,suzume
からす,烏,"crow, raven",karasu
わし,鷲,eagle,washi
たか,鷹,"hawk, falcon",taka
さかな,魚,fish,sakana
たい,鯛,red snapper,tai
えび,海老,"shrimp, lobster",ebi
いわし,鰯,sardine,iwashi
まぐろ,鮪,tuna,maguro
かつお,鰹,bonito,katsuo
さんま,秋刀魚,pike,sanma
あじ,鰺,horse mackerel,aji
さば,鯖,mackerel,saba
イカ,烏賊,squid,ika
タコ,蛸 / 章魚,octopus,tako
むし,虫,insect,mushi
ちょう,蝶,butterfly,chō
ガ,蛾,moth,ga
せみ,蝉,cicada,semi
トンボ,蜻蛉,dragonfly,tonbo
バッタ,飛蝗,grasshopper,batta
クモ,蜘蛛,spider,kumo
ホタル,蛍,firefly,hotaru
ハエ,蝿 / 蠅,housefly,hae
カ,蚊,"mosquito, gnat",ka
ゴキブリ,蜚蠊,cockroach,gokiburi
カタツムリ,蝸牛,snail,katatsumuri
ナメクジ,蛞蝓,slug,namekuji
ミミズ,蚯蚓,earthworm,mimizu
かい,貝,shellfish,kai
かいがら,貝殻,shell,kaigara
トカゲ,蜥蜴,lizard,tokage
へび,蛇,snake,hebi
くま,熊,bear,kuma
しょくぶつ,植物,plants,shokubutsu
くさ,草,grass,kusa
はな,花,flower,hana
み,実,fruit,mi
き,木,tree,ki
は,葉,leaf,ha
はっぱ,葉っぱ,leaf,happa
ね,根,root,ne
ねっこ,根っ子,root,nekko
くき,茎,stem,kuki
きのこ,茸,mushroom,kinoko
きく,菊,chrysanthemum,kiku
さくら,桜,cherry blossom,sakura
まつ,松,pine tree,matsu
うめ,梅,japanese plum or apricot,ume
こめ,米,uncooked rice,kome
いね,稲,rice growing in a field,ine
むぎ,麦,"wheat, barley, oats",mugi
やさい,野菜,vegetable,yasai
くだもの,果物,fruit for eating,kudamono
いも,芋,"yam, potato, taro",imo
まめ,豆,"beans, peas",mame
だいこん,大根,Japanese white radish,daikon
にんじん,人参,carrot,ninjin
リンゴ,林檎,apple,ringo
ミカン,蜜柑,mandarin orange,mikan
バナナ,,banana,banana
かんしょう,甘蕉,sweet potato,kanshō
ナシ,梨,pear,nashi
クリ,栗,chestnut tree,kuri
モモ,桃,peach,momo
トマト,,tomato,tomato
ばんか,蕃茄,eggplant,banka
スイカ,西瓜,watermelon,suika
たべもの,食べ物,food,tabemono
ちょうしょく,朝食,breakfast,chōshoku
ひるごはん,昼御飯,lunch,hirugohan
ばんごはん,晩御飯,dinner,bangohan
ごはん,御飯,cooked rice or meal,gohan
みそ,味噌,miso,miso
りょうり,料理,cooking,ryōri
サラダ,,salad,sarada
デザート,,dessert,dezāto
パン,,bread,pan
サンドイッチ,,sandwich,sandoitchi
おやつ,間食,snack,oyatsu
アイスクリーム,,ice cream,aisukurīmu
たこやき,たこ焼き,octopus dumpling,takoyaki
のみもの,飲み物,drink / beverage,nomimono
ちゃ,茶,tea,cha
おちゃ,お茶,green tea,ocha
コーヒー,珈琲,coffee,kōhī
ぎゅうにゅう,牛乳,milk,gyūnyū
みず,水,water,mizu
ビール,,beer,bīru
ワイン,,wine,wain
さとう,砂糖,sugar,satō
しお,塩,salt,shio
しょうゆ,醤油,soy sauce,shōyu
じかん,時間,time,jikan
とき,時,hours,toki
じ,,hours,ji
こよみ,暦,calendar,koyomi
カレンダー,,calendar,karendā
ふん,分,minute,fun
びょう,秒,second,byō
ひ,日,day,hi
にち,,day,nichi
つき,月,month,tsuki
がつ,,month,gatsu
とし,年,year,toshi
ねん,,year,nen
きのう,昨日,yesterday,kinō
さくじつ,,yesterday,sakujitsu
きょう,今日,today,kyō
あした,明日,tomorrow,ashita
あす,,tomorrow,asu
みょうにち,,tomorrow,myōnichi
あさ,朝,morning,asa
ひる,昼,afternoon,hiru
ゆうがた,夕方,evening,yūgata
ばん,晩,evening,ban
よる,夜,"evening, night",yoru
ようび,曜日,day,yōbi
しゅう,週,week,shū
いっしゅうかん,一週間,one week,isshūkan
にちようび,日曜日,Sunday,nichi-yōbi
げつようび,月曜日,Monday,getsu-yōbi
かようび,火曜日,Tuesday,ka-yōbi
すいようび,水曜日,Wednesday,sui-yōbi
もくようび,木曜日,Thursday,moku-yōbi
きんようび,金曜日,Friday,kin-yōbi
どようび,土曜日,Saturday,do-yōbi
たいよう,太陽,sun,taiyō
つき,月,moon,tsuki
ほし,星,star,hoshi
てんき,天気,weather,tenki
はれ,晴れ,clear weather,hare
あめ,雨,rain,ame
くもり,曇り,cloudy,kumori
ゆき,雪,snow,yuki
かぜ,風,wind,kaze
かみなり,雷,"thunder, lightning",kaminari
たいふう,台風,typhoon,taifū
あらし,嵐,storm,arashi
そら,空,sky,sora
きた,北,north,kita
ひがし,東,east,higashi
みなみ,南,south,minami
にし,西,west,nishi
ここ,,here,koko
そこ,,there,soko
あそこ,,over there,asoko
みぎ,右,right,migi
ひだり,左,left,hidari
うえ,上,"above, up",ue
した,下,"below, down",shita
まえ,前,front,mae
うしろ,後,behind,ushiro
むこう,向こう,"the other side, opposite side",mukō
ななめ,斜め,diagonal,naname
てまえ,手前,"nearer, more in front",temae
とおい,遠い,far,tooi
ちかい,近い,"near, close",chikai
みず,水,water,mizu
ゆ,湯,hot water,yu
こおり,氷,ice,kōri
ゆげ,湯気,steam,yuge
ひ,火,fire,hi
ガス,,gas,gasu
くうき,空気,"air, atmosphere",kūki
つち,土,"earth, ground",tsuchi
きんぞく,金属,"metal, metallic",kinzoku
どろ,泥,"mud, mire, clay, plaster",doro
けむり,煙,"smoke, tobacco, opium",kemuri
てつ,鉄,iron [Fe],tetsu
どう,銅,copper [Cu],dō
きん,金,gold [Au]; money,kin
ぎん,銀,silver [Ag]; wealth,gin
なまり,鉛,lead [Pb],namari
しお,塩,salt [NaCl],shio
メートル,,meter,mētoru
リットル,,litre,rittoru
グラム,,gram,guramu
キロ,,kilo-,kiro
ミリ,,milli-,miri
センチメートル,センチ,centimeter,senchi
インチ,,inch,inchi
しゃかい,社会,society,shakai
けいざい,経済,"economy, economics",keizai
かいしゃ,会社,company,kaisha
かいぎ,会議,meeting,kaigi
がっこう,学校,school,gakkō
やくしょ,役所,local government office,yakusho
みせ,店,store,mise
ホテル,,hotel,hoteru
こうじょう,工場,factory,kōjō
かね,金,money,kane/o-kane
さつ,札,bill [of money],satsu
こぜに,小銭,small change,kozeni
つりせん,釣り銭,change,tsurisen
おつり,お釣り,change,o-tsuri
じどうはんばいき,自動販売機,"vending machine, slot machine",jidōhanbaiki
きっぷ,切符,"ticket (public transport, fine)",kippu
きって,切手,stamp,kitte
つくえ,机,desk,tsukue
いす,椅子,chair position,isu
たたみ,畳,a tatami mat,tatami
と,戸,door (esp. Japanese-style),to
とびら,扉,door,tobira
ドア,,door,doa
まど,窓,window,mado
ふとん,布団,futon,futon
げんかん,玄関,entrance,genkan
いえ,家,"house, home",ie
エレベーター,,elevator,erebētā
エスカレーター,,escalator,esukarētā
でんき,電気,electricity,denki
くぎ,釘,"nail, spike",kugi
ひも,紐,"string, cord",himo
なわ,縄,"rope, string",nawa
ふくろ,袋,"pocket, bag",fukuro
かばん,鞄,leather bag,kaban
かさ,傘,"umbrella, parasol",kasa
かぎ,鍵,"door bolt, key",kagi
ちょうこく,彫刻,"sculpture, engraving",chōkoku
ぶんぼうぐ,文房具,stationery,​bunbōgu
インク,,ink,inku
ペン,,pen,pen
ボールペン,,ball-point pen,bōrupen
まんねんひつ,万年筆,fountain pen,mannenhitsu
えんぴつ,鉛筆,pencil,enpitsu
ふで,筆,brush for writing or painting,fude
チョーク,,chalk,chōku
けしゴム,消しゴム,eraser,keshigomu
えんぴつけずり,鉛筆削り,pencil sharpener,enpitsu-kezuri
じょうぎ,定規,ruler,jōgi
ノート,,notebook,nōto
にっき,日記,diary,nikki
カバー,,book cover,kabā
ふうとう,封筒,envelope,fūtō
はさみ,鋏,scissors,hasami
ホッチキス,,stapler,hotchikisu
ふく,服,clothes,fuku
ようふく,洋服,western clothing,yōfuku
きもの,着物,kimono,kimono
わふく,和服,Japanese clothing,wafuku
そで,袖,sleeve,sode
えり,襟,"lapel, collar",eri
ボタン,,button,botan
チャック,,"zipper,",chakku
ファスナー,,fastener,fasunā
ジッパー,,"zipper,",jippā
ベルト,,belt,beruto
くつ,靴,shoe,kutsu
くつした,靴下,sock,kutsushita
めがね,眼鏡,glasses,megane
てつどう,鉄道,railway,tetsudō
えき,駅,station,eki
ひこうき,飛行機,airplane,hikōki
くうこう,空港,airport,kūkō
ひこうじょう,飛行場,airport,hikōjō
みち,道,"street, way, road",michi
どうろ,道路,road,dōro
バスてい,バス停,bus-stop,basutei
とおり,通り,avenue,tōri
でんしゃ,電車,train,densha
くるま,車,car,kuruma
じどうしゃ,自動車,car,jidōsha
じてんしゃ,自転車,bicycle,Jitensha
もじ,文字,"letter, character, script",moji
じ,字,"a letter, character",ji
かんじ,漢字,Chinese character,kanji
ひらがな,平仮名,hiragana syllabary characters,hiragana
カタカナ,片仮名,katakana syllabary characters,katakana
すうじ,数字,numbers,sūji
アルファベット,,alphabet,arufabetto
ローマ字,,"Roman characters, Latin script",rōmaji
がいこくご,外国語,foreign language,gaikokugo
にほんご,日本語,Japanese [language],nihongo
こくご,国語,national language [i.e. Japanese],kokugo
えいご,英語,English [language],eigo
ちゅうごくご,中国語,Chinese [language],chūgokugo
どいつご,ドイツ語,German [language],doitsugo
すぺいんご,スペイン語,Spanish [language],supeingo
ふらんすご,フランス語,French [language],furansugo
ちょうせんご,朝鮮語,Korean [language],chōsengo
かんこくご,韓国語,South Korean [language],kankokugo
ほん,本,book,hon
かみ,紙,paper,kami
てがみ,手紙,letter,tegami
しんぶん,新聞,newspaper,shinbun
じしょ,辞書,dictionary,jisho
パソコン,,personal computer,pasokon
いろ,色,color,iro
あか,赤,red,aka
きいろ,黄色,yellow,kiiro
みどり,緑,green,midori
あお,青,blue,ao
むらさき,紫,purple,murasaki
しろ,白,white,shiro
くろ,黒,black,kuro
ピンク,,pink,pinku
ちゃいろ,茶色,brown,chairo
はいいろ,灰色,grey,haiiro
ねずみいろ,鼠色,grey,nezumiiro
オレンジ,,orange,orenji
え,絵,picture,e
おんがく,音楽,music,ongaku
りか,理科,science,rika
さんすう,算数,arithmetic,sansū
れきし,歴史,history,rekishi
ちり,地理,geography,chiri
たいいく,体育,physical education,taiiku
スポーツ,,sport,supōtsu
システム,,system,shisutemu
じょうほう,情報,"information, news",jōhō
ひつよう,必要,necessity,hitsuyō
べんきょう,勉強,study,benkyō
いらい,依頼,request,irai
れい,零,zero,rei
ゼロ,,zero,zero
いち,一,one,ichi
に,二,two,ni
さん,三,three,san
よん / し,四,four,yonshi
ご,五,five,go
ろく,六,six,roku
なな / しち,七,seven,nanashichi
はち,八,eight,hachi
きゅう / く,九,nine,kyūku
じゅう,十,ten,jū
ひゃく,百,hundred,hyaku
せん,千,thousand,sen
まん,万,ten thousand,man
おく,億,one hundred million,oku
ひとつ,一つ,"one, one thing",hitotsu
ふたつ,二つ,"two, two things",futatsu
みっつ,三つ,"three, three things",mittsu
よっつ,四つ,"four, four things",yottsu
いつつ,五つ,"five, five things",itsutsu
むっつ,六つ,"six, six things",muttsu
ななつ,七つ,"seven, seven things",nanatsu
やっつ,八つ,"eight, eight things",yattsu
ここのつ,九つ,"nine, nine things",kokonotsu
とお,十,"ten, ten things",tō
これ,,"this, it",kore
それ,,that,sore
あれ,,that over there,are
どれ,,which,dore
ひみつ,秘密,secret,himitsu
じどう,自動,automatic,jidō
ないよう,内容,content,naiyō
せいしき,正式,formality,seishiki
けっこん,結婚,marriage,kekkon
げんざい,現在,now,genzai
いま,今,now,ima
かこ,過去,past,kako
みらい,未来,future,mirai
